Timestamp,What is your gender?,What is your academic position?,What is your age?,What is your Field of Study? List the closest equivalent if you do not attend TMU.,Are you a computer science student?,Have you used ChatGPT before?,"Pick the option you most agree with: 
Students should be allowed to use ChatGPT as an aid for assignments or tests.","Do you attend Toronto Metropolitan University? If not, list the academic institute you attend.",Pick the option you most agree with: ChatGPT sparks creativity.,"Pick the option you most agree with: 
The usage of ChatGPT to provide direct solutions for academic assignments and tests is a form of plagiarism.","Pick the option you most agree with: 
ChatGPT's responses should not be used as direct solutions to academic assignments and tests.","How do you mainly use ChatGPT? If you do not use it, how do you imagine you would use ChatGPT?",Pick the option you most agree with: Software that can detect if a body of text was generated by an AI (such as GPTZero) is reliable and should be used to detect plagiarism.,"Pick the option you most agree with: Students should be permitted to use ChatGPT as an academic reference, much like academic papers or articles.","Pick the option you most agree with: 
Students who are caught using ChatGPT to provide direct solutions for academic assignments or tests should be penalized in the same way that plagiarism is in post-secondary academic integrity policies.",,"Pick the option you most agree with: Those who are caught using ChatGPT in a non-transformative manner should be punished via the same Academic Integrity Policy that would apply for plagiarism 
- this question is sort of similar to the one that asks if ChatGPT is plagiarism, might delete 
I agree. - Stephen"
3/8/2023 18:30:36,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,No,Strongly disagree,UofT,Neutral,Strongly agree,Agree,As a creativity tool,Agree,Disagree,Strongly agree,,
3/8/2023 19:40:29,Male,Undergraduate Student,18 -24 years old,"Faculty of Engineering and Architectural Science (Aerospace Engineering, Architectural Science etc.)",No,Yes,Disagree,waterloo,Neutral,Strongly agree,Strongly agree,"As a research aid for papers, assignments, and finding scholarly information",Agree,Agree,Strongly agree,,
3/8/2023 21:08:48,Female,Undergraduate Student,18 -24 years old,"Faculty of Community Services (Occupational Health and Safety, Public Health etc.)",No,No,Disagree,Gbc,Neutral,Disagree,Agree,"As a research aid for papers, assignments, and finding scholarly information",Disagree,Neutral,Neutral,,
3/8/2023 21:15:10,Female,Undergraduate Student,18 -24 years old,"Faculty of Arts (English, History, Philosophy, Politics and Governance, Sociology etc.)",No,No,Agree,Yes,Neutral,Agree,Agree,"As a general aid for answering questions, solving problems, and looking things up",Neutral,Agree,Agree,,
3/8/2023 21:16:51,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,Yes,Strongly agree,Yes,Agree,Neutral,Disagree,"As a general aid for answering questions, solving problems, and looking things up",Disagree,Agree,Neutral,,
3/8/2023 21:17:29,Female,Undergraduate Student,18 -24 years old,"Faculty of Engineering and Architectural Science (Aerospace Engineering, Architectural Science etc.)",No,No,Agree,Yes,Neutral,Neutral,Neutral,"As a research aid for papers, assignments, and finding scholarly information",Disagree,Agree,Neutral,,
3/8/2023 21:18:48,Female,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,Yes,Agree,York ,Strongly agree,Agree,Neutral,"As a research aid for papers, assignments, and finding scholarly information",Strongly disagree,Disagree,Neutral,,
3/8/2023 21:20:33,Male,Undergraduate Student,18 -24 years old,"Faculty of Engineering and Architectural Science (Aerospace Engineering, Architectural Science etc.)",No,No,Strongly agree,uoft,Strongly agree,Disagree,Strongly disagree,As a creativity tool,Disagree,Strongly agree,Disagree,,
3/8/2023 21:21:38,Female,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,No,Agree,York University ,Agree,Strongly agree,Strongly agree,"As a general aid for answering questions, solving problems, and looking things up",Disagree,Neutral,Strongly agree,,
3/8/2023 21:57:25,Male,Undergraduate Student,18 -24 years old,"Faculty of Engineering and Architectural Science (Aerospace Engineering, Architectural Science etc.)",No,Yes,Neutral,University of Toronto ,Agree,Agree,Agree,"As a general aid for answering questions, solving problems, and looking things up",Strongly agree,Disagree,Neutral,,
3/9/2023 0:34:08,Male,Undergraduate Student,18 -24 years old,"Faculty of Engineering and Architectural Science (Aerospace Engineering, Architectural Science etc.)",No,Yes,Strongly agree,York u,Strongly agree,Strongly disagree,Strongly disagree,"As a general aid for answering questions, solving problems, and looking things up",Strongly disagree,Strongly agree,Strongly disagree,,
3/9/2023 1:01:02,Female,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,Yes,Strongly agree,York university ,Agree,Agree,Agree,"As a general aid for answering questions, solving problems, and looking things up",Disagree,Disagree,Agree,,
3/9/2023 11:27:33,Female,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",No,No,Strongly agree,Humber College,Strongly agree,Strongly agree,Neutral,"As a research aid for papers, assignments, and finding scholarly information",Strongly agree,Neutral,Strongly agree,,
3/9/2023 11:53:32,Male,Undergraduate Student,18 -24 years old,"Faculty of Engineering and Architectural Science (Aerospace Engineering, Architectural Science etc.)",No,Yes,Agree,McMaster University ,Agree,Disagree,Agree,"As a research aid for papers, assignments, and finding scholarly information",Disagree,Agree,Disagree,,
3/9/2023 16:32:25,Female,Undergraduate Student,18 -24 years old,"Faculty of Arts (English, History, Philosophy, Politics and Governance, Sociology etc.)",No,Yes,Agree,York,Neutral,Agree,Neutral,As a form of entertainment,Neutral,Strongly agree,Neutral,,
3/11/2023 14:02:47,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Neutral,Yes,Neutral,Agree,Strongly agree,"As a research aid for papers, assignments, and finding scholarly information",Disagree,Agree,Agree,,
3/17/2023 21:17:19,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Neutral,Yes,Agree,Agree,Agree,"As a general aid for answering questions, solving problems, and looking things up",Agree,Strongly agree,Neutral,,
3/17/2023 21:34:51,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Disagree,Yes,Disagree,Disagree,Disagree,"As a research aid for papers, assignments, and finding scholarly information",Disagree,Agree,Neutral,,
3/18/2023 16:31:55,Prefer not to say,Undergraduate Student,18 -24 years old,"Ted Rogers School of Management (Accounting, Business Management, Hospitality etc.)",No,Yes,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly disagree,"As a research aid for papers, assignments, and finding scholarly information",Disagree,Strongly agree,Strongly disagree,,
3/18/2023 16:32:18,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Neutral,Yes,Agree,Agree,Strongly agree,As a creativity tool,Strongly disagree,Strongly agree,Disagree,,
3/18/2023 22:04:04,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Disagree,Yes,Disagree,Strongly agree,Strongly agree,As a form of entertainment,Neutral,Neutral,Strongly agree,,
3/20/2023 12:17:50,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Neutral,Yes,Neutral,Agree,Agree,As a form of entertainment,Agree,Neutral,Agree,,
3/20/2023 19:42:40,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Neutral,Yes,Neutral,Agree,Strongly agree,As a creativity tool,Disagree,Neutral,Agree,,
3/20/2023 20:37:35,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,No,Disagree,Yes,Agree,Strongly agree,Strongly agree,As a creativity tool,Agree,Strongly agree,Strongly agree,,
3/21/2023 1:52:18,Male,Undergraduate Student,18 -24 years old,"Ted Rogers School of Management (Accounting, Business Management, Hospitality etc.)",No,No,Neutral,I don't go to UoT,Neutral,Agree,Agree,As a form of entertainment,Strongly agree,Neutral,Agree,,
3/27/2023 12:16:34,Female,Undergraduate Student,18 -24 years old,"Faculty of Engineering and Architectural Science (Aerospace Engineering, Architectural Science etc.)",No,Yes,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly disagree,As a form of entertainment,Disagree,Agree,Disagree,,
3/27/2023 12:16:46,Male,Undergraduate Student,18 -24 years old,"Faculty of Science (Biology, Chemistry, Computer Science etc.)",Yes,Yes,Disagree,Yes,Strongly agree,Strongly agree,Agree,As a form of entertainment,Neutral,Agree,Agree,,
